SKU,ProductName,RetailPrice,Category,OnSpecialPricing,EffectiveDate,Status,UpdatedOn,Size
034546,PEARL VODKA                        750ml,9.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
034578,PINNACLE VODKA                    1750ml,19.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1750
034649,PINNACLE 100 PROOF VODKA           750ml,14.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
034759,REYKA VODKA                       1750ml,42.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1750
034820,SVEDKA VODKA                       750ml,15.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
034821,SVEDKA VODKA                      1750ml,21.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1750
034919,THREE OLIVES VODKA                1750ml,26.99,General,No,2025-07-01,1,2025-08-22 21:57:49,1750
035356,BLUE ICE POTATO VODKA              750ml,17.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
035416,BURNETTS VODKA                     750ml,9.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
035418,BURNETTS VODKA                    1750ml,14.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1750
035628,PINNACLE WHIPPED VODKA            1750ml,24.99,General,No,2025-07-01,1,2025-08-22 21:57:49,1750
035699,PEARL CUCUMBER VODKA               750ml,7.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
035948,FLEISCHMANNS ROYAL VODKA          1750ml,10.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1750
036465,HELIX VODKA                       1000ml,22.99,Special,No,2025-07-01,S,2025-08-22 21:57:49,1000
036618,NEW AMSTERDAM RASPBERRY VODKA      750ml,10.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
036711,FIVE WIVES VODKA                 1000 ml,16.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1000
036759,DENTED BRICK CRAFT VODKA         1000 ml,16.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1000
036769,ABSOLUT GRAPEFRUIT                 750ml,21.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
036773,FIVE WIVES PREMIUM POTATO VODKA    750ml,19.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
036969,NEW AMSTERDAM VODKA                750ml,12.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
036970,NEW AMSTERDAM                     1000ml,18.99,General,No,2025-07-01,1,2025-08-22 21:57:49,1000
036971,NEW AMSTERDAM VODKA               1750ml,25.99,General,No,2025-07-01,1,2025-08-22 21:57:49,1750
037137,FIVE HUSBANDS VODKA                750ml,15.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
037418,POPOV VODKA                       1750ml,18.04,General,No,2025-07-01,1,2025-08-22 21:57:49,1750
037478,POTTERS VODKA                     1750ml,11.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1750
